x-axis,1,REF1
second,Volt,Volt
+486.200000E-06,,+3.187939628959E+00
+486.201600E-06,,+3.187939628959E+00
+486.203200E-06,,+3.187939628959E+00
+486.204800E-06,,+3.187939628959E+00
+486.206400E-06,,+3.187939628959E+00
+486.208000E-06,,+3.187939628959E+00
+486.209600E-06,,+3.187939628959E+00
+486.211200E-06,,+3.187939628959E+00
+486.212800E-06,,+3.187939628959E+00
+486.214400E-06,,+3.187939628959E+00
+486.216000E-06,,+3.187939628959E+00
+486.217600E-06,,+3.187939628959E+00
+486.219200E-06,,+3.187939628959E+00
+486.220800E-06,,+3.187939628959E+00
+486.222400E-06,,+3.187939628959E+00
+486.224000E-06,,+3.187939628959E+00
+486.225600E-06,,+3.187939628959E+00
+486.227200E-06,,+3.187939628959E+00
+486.228800E-06,,+3.187939628959E+00
+486.230400E-06,,+3.187939628959E+00
+486.232000E-06,,+3.187939628959E+00
+486.233600E-06,,+3.187939628959E+00
+486.235200E-06,,+3.187939628959E+00
+486.236800E-06,,+3.187939628959E+00
+486.238400E-06,,+3.187939628959E+00
+486.240000E-06,,+3.187939628959E+00
+486.241600E-06,,+3.187939628959E+00
+486.243200E-06,,+3.187939628959E+00
+486.244800E-06,,+3.187939628959E+00
+486.246400E-06,,+3.187939628959E+00
+486.248000E-06,,+3.187939628959E+00
+486.249600E-06,+3.232286401093E+00,+3.187939628959E+00
+486.251200E-06,+3.232286401093E+00,+3.187939628959E+00
+486.252800E-06,+3.292587907991E+00,+3.187939628959E+00
+486.254400E-06,+3.252386903384E+00,+3.187939628959E+00
+486.256000E-06,+3.232286401093E+00,+3.187939628959E+00
+486.257600E-06,+3.232286401093E+00,+3.187939628959E+00
+486.259200E-06,+3.232286401093E+00,+3.187939628959E+00
+486.260800E-06,+3.232286401093E+00,+3.187939628959E+00
+486.262400E-06,+3.232286401093E+00,+3.187939628959E+00
+486.264000E-06,+3.232286401093E+00,+3.187939628959E+00
+486.265600E-06,+3.232286401093E+00,+3.187939628959E+00
+486.267200E-06,+3.232286401093E+00,+3.187939628959E+00
+486.268800E-06,+3.232286401093E+00,+3.187939628959E+00
